"","Climate Change","Flu vaccination"
"n"," 3803"," 3830"
"Age in years (mean (sd))","36.11 (11.57)","36.11 (11.65)"
"Highest level of education (%)"," "," "
"   Less than high school","   13 ( 0.3) ","   20 ( 0.5) "
"   High school diploma or GED","  359 ( 9.4) ","  366 ( 9.6) "
"   Some college","  824 (21.7) ","  891 (23.3) "
"   Associate's degree","  475 (12.5) ","  417 (10.9) "
"   Bachelor's degree"," 1551 (40.8) "," 1540 (40.2) "
"   Professional or Masters degree","  510 (13.4) ","  527 (13.8) "
"   Doctorate","   70 ( 1.8) ","   66 ( 1.7) "
"Gender (%)"," "," "
"   Male"," 1837 (48.3) "," 1801 (47.1) "
"   Female"," 1956 (51.4) "," 2013 (52.6) "
"   Non-binary","    5 ( 0.1) ","    3 ( 0.1) "
"   Agender","    0 ( 0.0) ","    2 ( 0.1) "
"   Androgynous","    0 ( 0.0) ","    1 ( 0.0) "
"   Demigirl","    0 ( 0.0) ","    1 ( 0.0) "
"   Transgender (preferred gender not stated)","    0 ( 0.0) ","    1 ( 0.0) "
"   NA","    4 ( 0.1) ","    4 ( 0.1) "
"Annual household income (%)"," "," "
"   Less than $10,000","  165 ( 4.3) ","  178 ( 4.7) "
"   $10,000 - $19,999","  266 ( 7.0) ","  278 ( 7.3) "
"   $20,000 - $29,999","  426 (11.2) ","  452 (11.8) "
"   $30,000 - $39,999","  472 (12.4) ","  482 (12.6) "
"   $40,000 - $49,999","  436 (11.5) ","  459 (12.0) "
"   $50,000 - $59,999","  446 (11.7) ","  424 (11.1) "
"   $60,000 - $69,999","  309 ( 8.1) ","  332 ( 8.7) "
"   $70,000 - $79,999","  331 ( 8.7) ","  305 ( 8.0) "
"   $80,000 - $89,999","  205 ( 5.4) ","  205 ( 5.4) "
"   $90,000 - $99,999","  181 ( 4.8) ","  172 ( 4.5) "
"   $100,000 - $149,999","  348 ( 9.2) ","  335 ( 8.8) "
"   More than $150,000","  151 ( 4.0) ","  138 ( 3.6) "
"   Prefer not to say","   66 ( 1.7) ","   67 ( 1.8) "
"Ideology - General (mean (sd))"," 4.38 (2.91)"," 4.39 (2.86)"
"Ideology - Economic (mean (sd))"," 4.81 (2.93)"," 4.80 (2.88)"
"Ideology - Social (mean (sd))"," 4.00 (3.08)"," 4.02 (3.01)"
